SC1.EMInert.X             SC1.EMInert.Y             SC1.EMInert.Z             SC1.UTCModJulian          
319483.7621226973         -160596.5071618198        -166167.0176404809        57727.00000012384         
319483.7621709799         -160596.5070999364        -166167.0176074584        57727.000000125           
319483.7622192626         -160596.507038053         -166167.0175744358        57727.00000012616         
319483.7622675453         -160596.5069761696        -166167.0175414133        57727.00000012731         
319483.7623158279         -160596.5069142861        -166167.0175083907        57727.00000012847         
319483.7623641106         -160596.5068524027        -166167.0174753682        57727.00000012963         
319483.7624123933         -160596.5067905193        -166167.0174423456        57727.00000013079         
319483.762460676          -160596.5067286359        -166167.0174093231        57727.00000013194         
319483.7625089586         -160596.5066667525        -166167.0173763006        57727.0000001331          
319483.7625572413         -160596.5066048691        -166167.017343278         57727.00000013426         
319483.7626055197         -160596.506542991         -166167.0173102584        57727.00000013542         
319483.7626538023         -160596.5064811076        -166167.0172772358        57727.00000013658         
319483.762702085          -160596.5064192242        -166167.0172442133        57727.00000013773         
319483.7627503676         -160596.5063573408        -166167.0172111907        57727.00000013889         
319483.7627986503         -160596.5062954573        -166167.0171781682        57727.00000014005         
319483.762846933          -160596.5062335739        -166167.0171451456        57727.0000001412          
319483.7628952157         -160596.5061716905        -166167.0171121231        57727.00000014236         
319483.7629434983         -160596.5061098071        -166167.0170791005        57727.00000014352         
319483.762991781          -160596.5060479237        -166167.017046078         57727.00000014468         
319483.7630400637         -160596.5059860403        -166167.0170130554        57727.00000014583         
319483.7630883463         -160596.5059241568        -166167.0169800329        57727.00000014699         
319483.763136629          -160596.5058622734        -166167.0169470104        57727.00000014815         
319483.7631849116         -160596.50580039          -166167.0169139878        57727.0000001493          
319483.7632331943         -160596.5057385066        -166167.0168809653        57727.00000015046         
319483.7632814727         -160596.5056766286        -166167.0168479456        57727.00000015162         
319483.7633297554         -160596.5056147451        -166167.0168149231        57727.00000015278         
319483.763378038          -160596.5055528617        -166167.0167819005        57727.00000015394         
319483.7634263207         -160596.5054909783        -166167.016748878         57727.00000015509         
319483.7634746034         -160596.5054290949        -166167.0167158554        57727.00000015625         
319483.763522886          -160596.5053672115        -166167.0166828329        57727.00000015741         
319483.7635711687         -160596.5053053281        -166167.0166498103        57727.00000015856         
319483.7636194514         -160596.5052434446        -166167.0166167878        57727.00000015972         
319483.763667734          -160596.5051815612        -166167.0165837653        57727.00000016088         
319483.7637160167         -160596.5051196778        -166167.0165507427        57727.00000016204         
319483.7637642993         -160596.5050577944        -166167.0165177202        57727.00000016319         
319483.763812582          -160596.504995911         -166167.0164846976        57727.00000016435         
319483.7638608647         -160596.5049340276        -166167.0164516751        57727.00000016551         
319483.7639091474         -160596.5048721441        -166167.0164186526        57727.00000016666         
319483.7639574258         -160596.5048102661        -166167.0163856329        57727.00000016783         
319483.7640057084         -160596.5047483827        -166167.0163526103        57727.00000016898         
319483.7640539911         -160596.5046864992        -166167.0163195878        57727.00000017014         
319483.7641022737         -160596.5046246158        -166167.0162865652        57727.0000001713          
319483.7641505564         -160596.5045627324        -166167.0162535427        57727.00000017245         
319483.7641988391         -160596.504500849         -166167.0162205202        57727.00000017361         
319483.7642471218         -160596.5044389656        -166167.0161874976        57727.00000017477         
319483.7642954044         -160596.5043770822        -166167.0161544751        57727.00000017593         
319483.764343687          -160596.5043151987        -166167.0161214525        57727.00000017708         
319483.7643919697         -160596.5042533153        -166167.01608843          57727.00000017824         
319483.7644402524         -160596.5041914319        -166167.0160554074        57727.0000001794          
319483.7644885351         -160596.5041295485        -166167.0160223849        57727.00000018055         
319483.7645368177         -160596.5040676651        -166167.0159893623        57727.00000018171         
319483.7645850961         -160596.504005787         -166167.0159563427        57727.00000018287         
319483.7646333788         -160596.5039439036        -166167.0159233201        57727.00000018403         
319483.7646816614         -160596.5038820202        -166167.0158902976        57727.00000018519         
319483.7647299441         -160596.5038201368        -166167.0158572751        57727.00000018634         
319483.7647782268         -160596.5037582534        -166167.0158242525        57727.0000001875          
319483.7648265095         -160596.5036963699        -166167.01579123          57727.00000018866         
319483.7648747921         -160596.5036344865        -166167.0157582074        57727.00000018982         
319483.7649230748         -160596.5035726031        -166167.0157251849        57727.00000019097         
319483.7649713574         -160596.5035107197        -166167.0156921623        57727.00000019213         
319483.7650196401         -160596.5034488363        -166167.0156591398        57727.00000019329         
319483.7650679228         -160596.5033869529        -166167.0156261172        57727.00000019444         
319483.7651162054         -160596.5033250694        -166167.0155930947        57727.0000001956          
319483.7651644881         -160596.503263186         -166167.0155600721        57727.00000019676         
319483.7652127708         -160596.5032013026        -166167.0155270496        57727.00000019791         
319483.7652610491         -160596.5031394245        -166167.0154940299        57727.00000019908         
319483.7653093318         -160596.5030775411        -166167.0154610074        57727.00000020023         
319483.7653576145         -160596.5030156577        -166167.0154279849        57727.00000020139         
319483.7654058972         -160596.5029537743        -166167.0153949623        57727.00000020255         
319483.7654541798         -160596.5028918909        -166167.0153619398        57727.0000002037          
319483.7655024625         -160596.5028300075        -166167.0153289172        57727.00000020486         
319483.7655507452         -160596.502768124         -166167.0152958947        57727.00000020602         
319483.7655990278         -160596.5027062406        -166167.0152628721        57727.00000020718         
319483.7656473105         -160596.5026443572        -166167.0152298496        57727.00000020833         
319483.7656955931         -160596.5025824738        -166167.0151968271        57727.00000020949         
319483.7657438758         -160596.5025205904        -166167.0151638045        57727.00000021065         
319483.7657921585         -160596.502458707         -166167.015130782         57727.0000002118          
319483.7658404412         -160596.5023968235        -166167.0150977594        57727.00000021296         
319483.7658887238         -160596.5023349401        -166167.0150647369        57727.00000021412         
319483.7659370022         -160596.5022730621        -166167.0150317172        57727.00000021528         
319483.7659852849         -160596.5022111787        -166167.0149986946        57727.00000021644         
319483.7660335675         -160596.5021492952        -166167.0149656721        57727.00000021759         
319483.7660818502         -160596.5020874118        -166167.0149326496        57727.00000021875         
319483.7661301329         -160596.5020255284        -166167.014899627         57727.00000021991         
319483.7661784156         -160596.501963645         -166167.0148666045        57727.00000022107         
319483.7662266982         -160596.5019017616        -166167.014833582         57727.00000022222         
319483.7662749809         -160596.5018398782        -166167.0148005594        57727.00000022338         
319483.7663232635         -160596.5017779947        -166167.0147675369        57727.00000022454         
319483.7663715462         -160596.5017161113        -166167.0147345143        57727.00000022569         
319483.7664198289         -160596.5016542279        -166167.0147014918        57727.00000022685         
319483.7664681115         -160596.5015923445        -166167.0146684692        57727.00000022801         
319483.7665163942         -160596.5015304611        -166167.0146354467        57727.00000022916         
319483.7665646768         -160596.5014685777        -166167.0146024241        57727.00000023032         
319483.7666129553         -160596.5014066996        -166167.0145694044        57727.00000023148         
319483.7666612379         -160596.5013448162        -166167.0145363819        57727.00000023264         
319483.7667095206         -160596.5012829328        -166167.0145033594        57727.0000002338          
319483.7667578033         -160596.5012210494        -166167.0144703368        57727.00000023496         
319483.7668060859         -160596.501159166         -166167.0144373143        57727.00000023611         
319483.7668543686         -160596.5010972825        -166167.0144042918        57727.00000023727         
319483.7669026512         -160596.5010353991        -166167.0143712692        57727.00000023843         
319483.7669509339         -160596.5009735157        -166167.0143382467        57727.00000023958         
319483.7669992166         -160596.5009116323        -166167.0143052241        57727.00000024074         
319483.7670474992         -160596.5008497489        -166167.0142722016        57727.0000002419          
319483.7670957819         -160596.5007878655        -166167.014239179         57727.00000024305         
319483.7671440646         -160596.500725982         -166167.0142061565        57727.00000024421         
319483.7671923472         -160596.5006640986        -166167.0141731339        57727.00000024537         
319483.7672406256         -160596.5006022206        -166167.0141401143        57727.00000024653         
319483.7672889083         -160596.5005403371        -166167.0141070917        57727.00000024769         
319483.767337191          -160596.5004784537        -166167.0140740692        57727.00000024885         
319483.7673854736         -160596.5004165703        -166167.0140410466        57727.00000025            
319483.7674337563         -160596.5003546869        -166167.0140080241        57727.00000025116         
319483.7674820389         -160596.5002928035        -166167.0139750016        57727.00000025232         
319483.7675303216         -160596.5002309201        -166167.013941979         57727.00000025347         
319483.7675786043         -160596.5001690366        -166167.0139089565        57727.00000025463         
319483.767626887          -160596.5001071532        -166167.0138759339        57727.00000025579         
319483.7676751696         -160596.5000452698        -166167.0138429114        57727.00000025694         
319483.7677234523         -160596.4999833864        -166167.0138098889        57727.0000002581          
319483.767771735          -160596.499921503         -166167.0137768663        57727.00000025926         
319483.7678200176         -160596.4998596196        -166167.0137438438        57727.00000026041         
319483.7678683003         -160596.4997977361        -166167.0137108212        57727.00000026157         
319483.7679165787         -160596.4997358581        -166167.0136778015        57727.00000026273         
319483.7679648614         -160596.4996739747        -166167.013644779         57727.00000026389         
319483.768013144          -160596.4996120913        -166167.0136117564        57727.00000026505         
319483.7680614266         -160596.4995502078        -166167.0135787339        57727.00000026621         
319483.7681097093         -160596.4994883244        -166167.0135457114        57727.00000026736         
319483.768157992          -160596.499426441         -166167.0135126888        57727.00000026852         
319483.7682062747         -160596.4993645576        -166167.0134796663        57727.00000026968         
319483.7682545573         -160596.4993026742        -166167.0134466437        57727.00000027083         
319483.76830284           -160596.4992407908        -166167.0134136212        57727.00000027199         
319483.7683511227         -160596.4991789073        -166167.0133805987        57727.00000027315         
319483.7683994054         -160596.4991170239        -166167.0133475761        57727.0000002743          
319483.768447688          -160596.4990551405        -166167.0133145536        57727.00000027546         
319483.7684959706         -160596.4989932571        -166167.013281531         57727.00000027662         
319483.7685442533         -160596.4989313737        -166167.0132485085        57727.00000027777         
319483.7685925317         -160596.4988694956        -166167.0132154888        57727.00000027894         
319483.7686408144         -160596.4988076122        -166167.0131824662        57727.0000002801          
319483.768689097          -160596.4987457288        -166167.0131494437        57727.00000028125         
319483.7687373797         -160596.4986838454        -166167.0131164212        57727.00000028241         
319483.7687856624         -160596.4986219619        -166167.0130833986        57727.00000028357         
319483.768833945          -160596.4985600785        -166167.0130503761        57727.00000028472         
319483.7688822277         -160596.4984981951        -166167.0130173535        57727.00000028588         
319483.7689305104         -160596.4984363117        -166167.012984331         57727.00000028704         
319483.7689787931         -160596.4983744283        -166167.0129513085        57727.00000028819         
319483.7690270757         -160596.4983125449        -166167.0129182859        57727.00000028935         
319483.7690753583         -160596.4982506614        -166167.0128852634        57727.00000029051         
319483.769123641          -160596.498188778         -166167.0128522408        57727.00000029166         
319483.7691719237         -160596.4981268946        -166167.0128192183        57727.00000029282         
319483.7692202021         -160596.4980650166        -166167.0127861986        57727.00000029399         
319483.7692684848         -160596.4980031332        -166167.0127531761        57727.00000029514         
319483.7693167674         -160596.4979412497        -166167.0127201535        57727.0000002963          
319483.7693650501         -160596.4978793663        -166167.012687131         57727.00000029746         
