DefaultSC.EMInert.X       DefaultSC.EMInert.Y       DefaultSC.EMInert.Z       DefaultSC.UTCModJulian    
-6336.882125066026        1449380.507031976         -629187.0957022292        57731.98773156325         
-6349.806472168957        1457901.993520631         -632896.0326044192        57732.01898156325         
-6362.724705826832        1466422.414293724         -636604.5060622388        57732.05023156325         
-6375.636886360993        1474941.781688106         -640312.5214261346        57732.08148156325         
-6388.543072992846        1483460.107825833         -644020.0839536602        57732.11273156325         
-6401.443323875721        1491977.404619162         -647727.1988116289        57732.14398156325         
-6414.337696127073        1500493.683775408         -651433.8710782016        57732.17523156325         
-6427.226245826762        1509008.956801602         -655140.1057449225        57732.20648156325         
-6440.109028051707        1517523.235009082         -658845.9077186888        57732.23773156325         
-6452.986096887785        1526036.529517908         -662551.2818236682        57732.26898156325         
-6465.857505464397        1534548.8512612           -666256.2328031597        57732.30023156325         
-6478.723305949788        1543060.210989282         -669960.7653214068        57732.33148156325         
-6491.583549580603        1551570.619273772         -673664.8839653545        57732.36273156325         
-6504.438286691886        1560080.086511558         -677368.5932463596        57732.39398156325         
-6517.287566710289        1568588.622928607         -681071.8976018556        57732.42523156325         
-6530.131438182857        1577096.238583721         -684774.8013969696        57732.45648156325         
-6542.969948806242        1585602.943372203         -688477.3089260942        57732.48773156325         
-6555.803145417939        1594108.747029348         -692179.4244144203        57732.51898156325         
-6568.631074024372        1602613.659133919         -695881.1520194255        57732.55023156325         
-6581.453779829511        1611117.689111505         -699582.4958323212        57732.58148156325         
-6594.271307224177        1619620.846237755         -703283.4598794662        57732.61273156325         
-6607.083699813509        1628123.139641566         -706984.0481237383        57732.64398156325         
-6619.891000444934        1636624.578308199         -710684.2644658685        57732.67523156325         
-6632.693251195755        1645125.171082245         -714384.1127457464        57732.70648156325         
-6645.490493404689        1653624.926670587         -718083.5967436857        57732.73773156325         
-6658.282767676395        1662123.853645238         -721782.7201816582        57732.76898156325         
-6671.070113913214        1670621.96044615          -725481.4867244957        57732.80023156325         
-6683.852571300537        1679119.255383887         -729179.8999810632        57732.83148156325         
-6696.630178333137        1687615.74664228          -732877.9635054001        57732.86273156325         
-6709.402972842057        1696111.442281021         -736575.6807978299        57732.89398156325         
-6722.170991978364        1704606.350238135         -740273.0553060476        57732.92523156325         
-6734.934272239128        1713100.478332438         -743970.0904261761        57732.95648156325         
-6747.692849493931        1721593.834265944         -747666.7895037928        57732.98773156325         
-6760.446758967113        1730086.425626148         -751363.1558349393        57733.01898156325         
-6773.196035263432        1738578.259888312         -755059.1926670985        57733.05023156325         
-6785.94071239426         1747069.344417691         -758754.9032001479        57733.08148156325         
-6798.680823758383        1755559.686471657         -762450.2905872959        57733.11273156325         
-6811.416402172531        1764049.293201818         -766145.3579359876        57733.14398156325         
-6824.14747987159         1772538.171656067         -769840.1083087937        57733.17523156325         
-6836.874088539479        1781026.328780599         -773534.5447242734        57733.20648156325         
-6849.596259288111        1789513.771421836         -777228.6701578216        57733.23773156325         
-6862.314022682491        1798000.506328347         -780922.4875424928        57733.26898156325         
-6875.027408766378        1806486.540152726         -784615.9997698034        57733.30023156325         
-6887.736447039933        1814971.879453381         -788309.2096905205        57733.33148156325         
-6900.441166484643        1823456.530696319         -792002.1201154281        57733.36273156325         
-6913.141595588818        1831940.500256896         -795694.733816073         57733.39398156325         
-6925.837762323974        1840423.794421478         -799387.0535254997        57733.42523156325         
-6938.529694175191        1848906.419389113         -803079.0819389636        57733.45648156325         
-6951.21741813868         1857388.381273134         -806770.8217146288        57733.48773156325         
-6963.90096075254         1865869.686102761         -810462.2754742487        57733.51898156325         
-6976.580348071553        1874350.339824607         -814153.4458038335        57733.55023156325         
-6989.255605691832        1882830.348304195         -817844.3352543006        57733.58148156325         
-7001.926758776064        1891309.717327454         -821534.946342109         57733.61273156325         
-7014.593832027142        1899788.452602117         -825225.2815498831        57733.64398156325         
-7027.256849712754        1908266.559759147         -828915.3433270194        57733.67523156325         
-7039.915835690565        1916744.044354123         -832605.1340902788        57733.70648156325         
-7052.570813380725        1925220.911868557         -836294.6562243693        57733.73773156325         
-7065.221805796389        1933697.167711221         -839983.9120825133        57733.76898156325         
-7077.86883553909         1942172.817219427         -843672.9039870023        57733.80023156325         
-7090.51192482968         1950647.865660297         -847361.6342297375        57733.83148156325         
-7103.151095479456        1959122.31823197          -851050.1050727656        57733.86273156325         
-7115.786368914689        1967596.180064808         -854738.318748795         57733.89398156325         
-7128.417766201716        1976069.456222594         -858426.2774617026        57733.92523156325         
-7141.045308017047        1984542.151703647         -862113.9833870337        57733.95648156325         
-7153.669014671902        1993014.271441967         -865801.4386724882        57733.98773156325         
-7166.288906137305        2001485.820308345         -869488.6454383935        57734.01898156325         
-7178.905002013214        2009956.803111415         -873175.6057781721        57734.05023156325         
-7191.517321559392        2018427.224598728         -876862.3217587994        57734.08148156325         
-7204.125883688952        2026897.08945777          -880548.7954212461        57734.11273156325         
-7216.73070699967         2035366.402316997         -884235.0287809162        57734.14398156325         
-7229.331809741875        2043835.167746792         -887921.0238280761        57734.17523156325         
-7241.929209843059        2052303.39026045          -891606.7825282721        57734.20648156325         
-7254.522924933017        2060771.074315139         -895292.306822739         57734.23773156325         
-7267.112972310841        2069238.224312798         -898977.5986288033        57734.26898156325         
-7279.699368976129        2077704.84460107          -902662.6598402748        57734.30023156325         
-7292.282131621416        2086170.939474183         -906347.4923278352        57734.33148156325         
-7304.861276663823        2094636.513173833         -910032.097939408         57734.36273156325         
-7317.4368202109          2103101.569890024         -913716.4785005354        57734.39398156325         
-7330.008778085375        2111566.113761907         -917400.6358147365        57734.42523156325         
-7342.577165850413        2120030.148878621         -921084.5716638614        57734.45648156325         
-7355.141998774634        2128493.679280068         -924768.2878084403        57734.48773156325         
-7367.703291856938        2136956.708957715         -928451.7859880244        57734.51898156325         
-7380.261059851811        2145419.241855375         -932135.0679215161        57734.55023156325         
-7392.815317233569        2153881.281869945         -935818.1353075007        57734.58148156325         
-7405.36607822812         2162342.832852157         -939500.9898245636        57734.61273156325         
-7417.913356803997        2170803.898607304         -943183.6331316056        57734.64398156325         
-7430.457166704531        2179264.482895961         -946866.0668681506        57734.67523156325         
-7442.997521411087        2187724.589434669         -950548.2926546485        57734.70648156325         
-7455.534434168072        2196184.221896622         -954230.3120927707        57734.73773156325         
-7468.067918008401        2204643.383912358         -957912.1267656996        57734.76898156325         
-7480.597985716015        2213102.079070393         -961593.7382384147        57734.80023156325         
-7493.124649858044        2221560.310917879         -965275.148057971         57734.83148156325         
-7505.647922774981        2230018.082961237         -968956.3577537747        57734.86273156325         
-7518.167816613249        2238475.398666784         -972637.3688378473        57734.89398156325         
-7530.684343286786        2246932.261461329         -976318.1828050944        57734.92523156325         
-7543.197514502261        2255388.674732781         -979998.8011335616        57734.95648156325         
-7555.707341784728        2263844.64183074          -983679.2252846882        57734.98773156325         
-7568.213836438552        2272300.166067061         -987359.4567035557        57735.01898156325         
-7580.717009579976        2280755.250716426         -991039.4968191342        57735.05023156325         
-7593.216872126539        2289209.899016897         -994719.3470445196        57735.08148156325         
-7605.713434830006        2297664.114170468         -998399.0087771697        57735.11273156325         
-7618.206708236473        2306117.899343582         -1002078.483399135        57735.14398156325         
-7630.696702711786        2314571.257667667         -1005757.772277284        57735.17523156325         
-7643.183428467377        2323024.192239658         -1009436.87676353         57735.20648156325         
