Luna.EMBaryRot.X          Luna.EMBaryRot.Y          Luna.EMBaryRot.Z          Luna.UTCModJulian         
371012.4470746078         -25951.72108425766        0                         57735.98772982787         
370817.5488904347         -25889.4281115629         0                         57736.01897982787         
370622.9129726395         -25825.17048266561        0                         57736.05022982787         
370428.5551328292         -25758.9510251231         0                         57736.08147982787         
370234.4912285442         -25690.77278416503        0                         57736.11272982787         
370040.7371612015         -25620.63902223874        0                         57736.14397982787         
369847.3088744658         -25548.5532186753         0                         57736.17522982787         
369654.2223523243         -25474.51906922956        0                         57736.20647982787         
369461.4936174085         -25398.54048569022        0                         57736.23772982787         
369269.1387288409         -25320.62159528444        -2.91038304567337e-11     57736.26897982787         
369077.1737805082         -25240.76674022355        0                         57736.30022982787         
368885.6148990412         -25158.98047711176        0                         57736.33147982787         
368694.4782420388         -25075.267576437          -2.91038304567337e-11     57736.36272982787         
368503.779995822          -24989.6330218399         -2.91038304567337e-11     57736.39397982787         
368313.5363735674         -24902.08200952135        -2.91038304567337e-11     57736.42522982787         
368123.7636134155         -24812.61994762827        -2.91038304567337e-11     57736.45647982787         
367934.4779761572         -24721.25245542352        2.91038304567337e-11      57736.48772982787         
367745.6957433507         -24627.98535929513        0                         57736.51897982787         
367557.4332151411         -24532.82470300787        0                         57736.55022982787         
367369.7067082735         -24435.77673614352        -2.91038304567337e-11     57736.58147982787         
367182.5325537384         -24336.84791383743        2.91038304567337e-11      57736.61272982787         
366995.9270947904         -24236.04489875759        0                         57736.64397982787         
366809.9066846798         -24133.37456009945        0                         57736.67522982787         
366624.4876846236         -24028.84397270661        0                         57736.70647982787         
366439.6864613227         -23922.46041593474        2.91038304567337e-11      57736.73772982787         
366255.5193848938         -23814.23137273601        0                         57736.76897982787         
366072.0028265204         -23704.16452857872        0                         57736.80022982787         
365889.153156342          -23592.26777049968        -2.91038304567337e-11     57736.83147982787         
365706.9867408974         -23478.54918587785        0                         57736.86272982787         
365525.519940933          -23363.01706141551        -2.91038304567337e-11     57736.89397982787         
365344.7691091914         -23245.67988210442        0                         57736.92522982787         
365164.7505878011         -23126.54632992538        -2.91038304567337e-11     57736.95647982787         
364985.4807060721         -23005.625282793          2.91038304567337e-11      57736.98772982787         
364806.9757780202         -22882.92581331483        0                         57737.01897982787         
364629.2521001253         -22758.45718769691        2.91038304567337e-11      57737.05022982787         
364452.3259486571         -22632.22886433984        2.91038304567337e-11      57737.08147982787         
364276.2135774014         -22504.25049269659        -5.820766091346741e-11    57737.11272982787         
364100.9312151207         -22374.53191193406        0                         57737.14397982787         
363926.4950632471         -22243.08314975124        2.91038304567337e-11      57737.17522982787         
363752.9212931508         -22109.91442087181        0                         57737.20647982787         
363580.2260438052         -21975.03612581513        0                         57737.23772982787         
363408.4254191915         -21838.458849462          0                         57737.26897982787         
363237.5354859335         -21700.19335978742        0                         57737.30022982787         
363067.5722705189         -21560.25060625262        0                         57737.33147982787         
362898.5517569095         -21418.6417184925         0                         57737.36272982787         
362730.4898839009         -21275.37800478965        0                         57737.39397982787         
362563.4025427062         -21130.47095072568        0                         57737.42522982787         
362397.3055741406         -20983.93221747751        0                         57737.45647982787         
362232.2147661853         -20835.77364042617        2.91038304567337e-11      57737.48772982787         
362068.1458513117         -20686.00722754426        -2.91038304567337e-11     57737.51897982787         
361905.1145040256         -20534.64515797077        0                         57737.55022982787         
361743.1363380217         -20381.699780218          0                         57737.58147982787         
361582.2269037157         -20227.18361070676        2.91038304567337e-11      57737.61272982787         
361422.4016855404         -20071.10933207305        -2.91038304567337e-11     57737.64397982787         
361263.6760994602         -19913.48979167243        0                         57737.67522982787         
361106.06549011           -19754.337999703          0                         57737.70647982787         
360949.5851283028         -19593.66712767344        0                         57737.73772982787         
360794.2502083101         -19431.49050663413        0                         57737.76897982787         
360640.075845359          -19267.82162561723        0                         57737.80022982787         
360487.0770727656         -19102.67412968171        0                         57737.83147982787         
360335.2688394298         -18936.06181831931        2.91038304567337e-11      57737.86272982787         
360184.6660071131         -18767.99864361665        0                         57737.89397982787         
360035.2833479288         -18598.49870863606        0                         57737.92522982787         
359887.1355414826         -18427.57626538824        -2.91038304567337e-11     57737.95647982787         
359740.2371723674         -18255.24571318211        0                         57737.98772982787         
359594.60272745           -18081.52159672323        0                         57738.01897982787         
359450.2465933673         -17906.41860444002        0                         57738.05022982787         
359307.1830536874         -17729.95156639074        0                         57738.08147982787         
359165.4262864164         -17552.13545256138        0                         57738.11272982787         
359024.9903613076         -17372.9853709058         0                         57738.14397982787         
358885.8892373766         -17192.51656562277        0                         57738.17522982787         
358748.1367600959         -17010.74441500215        0                         57738.20647982787         
358611.7466589276         -16827.68442967587        0                         57738.23772982787         
358476.7325446685         -16643.35225060481        2.91038304567337e-11      57738.26897982787         
358343.1079069967         -16457.76364731141        0                         57738.30022982787         
358210.8861117151         -16270.93451567024        2.91038304567337e-11      57738.33147982787         
358080.0803983219         -16082.88087611642        0                         57738.36272982787         
357950.7038774064         -15893.61887158495        -2.91038304567337e-11     57738.39397982787         
357822.7695282415         -15703.16476570232        0                         57738.42522982787         
357696.2901960889         -15511.53494052722        0                         57738.45647982787         
357571.2785898227         -15318.74589472127        0                         57738.48772982787         
357447.7472793895         -15124.81424144427        2.91038304567337e-11      57738.51897982787         
357325.7086934601         -14929.75670651083        2.91038304567337e-11      57738.55022982787         
357205.1751168117         -14733.59012608529        -2.91038304567337e-11     57738.58147982787         
357086.1586880187         -14536.3314448187         2.91038304567337e-11      57738.61272982787         
356968.6713969909         -14337.99771370611        0                         57738.64397982787         
356852.725082699          -14138.60608821122        -2.91038304567337e-11     57738.67522982787         
356738.3314306483         -13938.17382592061        2.91038304567337e-11      57738.70647982787         
356625.5019706502         -13736.71828465228        0                         57738.73772982787         
356514.2480744537         -13534.25692027827        0                         57738.76897982787         
356404.5809535581         -13330.80728482204        0                         57738.80022982787         
356296.5116567931         -13126.38702407718        0                         57738.83147982787         
356190.0510681852         -12921.01387569105        0                         57738.86272982787         
356085.20990472           -12714.70566700527        0                         57738.89397982787         
355981.9987141359         -12507.48031288992        0                         57738.92522982787         
355880.4278728671         -12299.3558138122         2.91038304567337e-11      57738.95647982787         
355780.5075837752         -12090.35025341723        0                         57738.98772982787         
355682.2478741534         -11880.48179658552        0                         57739.01897982787         
355585.6585936187         -11669.76868719461        0                         57739.05022982787         
355490.749412173          -11458.22924616982        -1.455191522836685e-11    57739.08147982787         
355397.5298180728         -11245.88186903935        0                         57739.11272982787         
355306.0091159591         -11032.74502397483        0                         57739.14397982787         
355216.1964248862         -10818.83724953297        0                         57739.17522982787         
355128.1006765165         -10604.17715269126        -1.455191522836685e-11    57739.20647982787         
